N,Z
1131,-320
1132,-206
1133,-208
1134,-326
1135,-210
1136,-196
1137,-290
1138,-238
1139,-198
1140,-282
1141,-248
1142,-236
1143,-248
1144,-218
1145,-230
1146,-272
1147,-254
1148,-252
1149,-220
1150,-218
1151,-228
1152,-236
1153,-254
1154,-254
1155,-248
1156,-236
1157,-226
1158,-226
1159,-256
1160,-258
1161,-212
1162,-226
1163,-252
1164,-236
1165,-236
1166,-254
1167,-256
1168,-234
1169,-234
1170,-226
1171,-232
1172,-250
1173,-256
1174,-246
1175,-232
1176,-244
1177,-238
1178,-232
1179,-240
1180,-264
1181,-220
1182,-222
1183,-234
1184,-244
1185,-230
1186,-242
1187,-248
1188,-244
1189,-224
1190,-256
1191,-254
1192,-236
1193,-232
1194,-236
1195,-230
1196,-258
1197,-242
1198,-226
1199,-234
1200,-240
1201,-236
1202,-250
1203,-256
1204,-202
1205,-216
1206,-328
1207,-266
1208,-120
1209,-198
1210,-334
1211,-236
1212,-220
1213,-256
1214,-210
1215,-192
1216,-272
1217,-270
1218,-234
1219,-240
1220,-254
1221,-200
1222,-216
1223,-258
1224,-248
1225,-242
1226,-236
1227,-224
1228,-218
1229,-256
1230,-250
1231,-236
1232,-246
1233,-238
1234,-244
1235,-238
1236,-242
1237,-248
1238,-254
1239,-226
1240,-232
1241,-230
1242,-234
1243,-228
1244,-242
1245,-246
1246,-232
1247,-226
1248,-258
1249,-238
1250,-242
1251,-230
1252,-244
1253,-224
1254,-248
1255,-248
1256,-234
1257,-240
1258,-256
1259,-264
1260,-234
1261,-262
1262,-262
1263,-234
1264,-252
1265,-242
1266,-230
1267,-238
1268,-244
1269,-236
1270,-234
1271,-244
1272,-240
1273,-226
1274,-246
1275,-248
1276,-228
1277,-248
1278,-256
1279,-242
1280,-240
1281,-236
1282,-228
1283,-290
1284,-318
1285,-148
1286,-116
1287,-378
1288,-340
1289,-122
1290,-242
1291,-288
1292,-182
1293,-260
1294,-294
1295,-192
1296,-244
1297,-276
1298,-194
1299,-232
1300,-282
1301,-250
1302,-240
1303,-224
1304,-214
1305,-240
1306,-266
1307,-264
1308,-234
1309,-218
1310,-232
1311,-234
1312,-246
1313,-260
1314,-238
1315,-234
1316,-240
1317,-226
1318,-238
1319,-268
1320,-250
1321,-222
1322,-244
1323,-248
1324,-226
1325,-232
1326,-242
1327,-230
1328,-248
1329,-244
1330,-242
1331,-238
1332,-254
1333,-256
1334,-242
1335,-232
1336,-252
1337,-240
1338,-228
1339,-258
1340,-260
1341,-228
1342,-236
1343,-232
1344,-240
1345,-240
1346,-236
1347,-232
1348,-226
1349,-238
1350,-240
1351,-248
1352,-246
1353,-232
1354,-228
1355,-228
1356,-242
1357,-244
1358,-226
1359,-240
1360,-244
1361,-232
1362,-254
1363,-244
1364,-198
1365,-254
1366,-314
1367,-206
1368,-138
1369,-268
1370,-298
1371,-214
1372,-226
1373,-270
1374,-192
1375,-236
1376,-266
1377,-244
1378,-224
1379,-246
1380,-218
1381,-202
1382,-242
1383,-254
1384,-258
1385,-236
1386,-228
1387,-222
1388,-250
1389,-262
1390,-238
1391,-244
1392,-246
1393,-236
1394,-234
1395,-234
1396,-248
1397,-244
1398,-234
1399,-222
1400,-230
1401,-258
1402,-248
1403,-230
1404,-224
1405,-232
1406,-234
1407,-248
1408,-242
1409,-242
1410,-228
1411,-246
1412,-240
1413,-238
1414,-250
1415,-224
1416,-224
1417,-244
1418,-250
1419,-236
1420,-224
1421,-248
1422,-252
1423,-242
1424,-238
1425,-242
1426,-244
1427,-228
1428,-244
1429,-250
1430,-222
1431,-232
1432,-232
1433,-234
1434,-236
1435,-240
1436,-234
1437,-238
1438,-246
1439,-238
1440,-224
1441,-246
1442,-220
1443,-236
1444,-320
1445,-264
1446,-90
1447,-228
1448,-416
1449,-154
1450,-312
1451,-200
1452,-202
1453,-320
1454,-218
1455,-192
1456,-278
1457,-230
1458,-200
1459,-268
1460,-262
1461,-226
1462,-254
1463,-224
1464,-218
1465,-252
1466,-252
1467,-246
1468,-238
1469,-242
1470,-238
1471,-224
1472,-252
1473,-246
1474,-228
1475,-244
1476,-246
1477,-240
1478,-254
1479,-254
1480,-236
1481,-234
1482,-244
1483,-230
1484,-248
1485,-250
1486,-248
1487,-238
1488,-232
1489,-240
1490,-236
1491,-244
1492,-256
1493,-244
1494,-226
1495,-256
1496,-240
1497,-228
1498,-246
1499,-258
1500,-242
1501,-228
1502,-250
1503,-246
1504,-240
1505,-248
1506,-252
1507,-228
1508,-234
1509,-252
1510,-246
1511,-236
1512,-244
1513,-234
1514,-226
1515,-236
1516,-250
1517,-246
1518,-234
1519,-238
1520,-236
1521,-246
1522,-256
1523,-200
1524,-206
1525,-312
1526,-276
1527,-160
1528,-232
1529,-308
1530,-216
1531,-218
1532,-278
1533,-208
1534,-224
1535,-272
1536,-238
1537,-230
1538,-248
1539,-238
1540,-216
1541,-230
1542,-234
1543,-250
1544,-244
1545,-242
1546,-234
1547,-224
1548,-246
1549,-236
1550,-228
1551,-248
1552,-246
1553,-234
1554,-246
1555,-252
1556,-236
1557,-250
1558,-236
1559,-222
1560,-234
1561,-254
1562,-228
1563,-238
1564,-264
1565,-248
1566,-234
1567,-228
1568,-242
1569,-230
1570,-254
1571,-242
1572,-232
1573,-238
1574,-244
1575,-238
1576,-250
1577,-250
1578,-244
1579,-222
1580,-236
1581,-240
1582,-238
1583,-228
1584,-236
1585,-242
1586,-232
1587,-240
1588,-252
1589,-248
1590,-242
1591,-236
1592,-244
1593,-246
1594,-232
1595,-230
1596,-244
1597,-240
1598,-240
1599,-212
1600,-250
1601,-250
1602,-226
1603,-268
1604,-274
1605,-164
1606,-170
1607,-322
1608,-256
1609,-158
1610,-284
1611,-298
1612,-178
1613,-266
1614,-276
1615,-178
1616,-254
1617,-282
1618,-200
1619,-214
1620,-262
1621,-240
1622,-240
1623,-248
1624,-224
1625,-220
1626,-268
1627,-252
1628,-242
1629,-242
1630,-238
1631,-226
1632,-230
1633,-238
1634,-234
1635,-246
1636,-256
1637,-240
1638,-258
1639,-258
1640,-240
1641,-256
1642,-256
1643,-230
1644,-244
1645,-246
1646,-228
1647,-234
1648,-248
1649,-236
1650,-232
1651,-242
1652,-242
1653,-240
1654,-242
1655,-256
1656,-226
1657,-232
1658,-254
1659,-240
1660,-226
1661,-250
1662,-250
1663,-232
1664,-238
1665,-244
1666,-234
1667,-230
1668,-244
1669,-246
1670,-236
1671,-252
1672,-240
1673,-236
1674,-240
1675,-240
1676,-222
1677,-242
1678,-250
1679,-248
1680,-240
1681,-256
1682,-240
1683,-200
1684,-262
1685,-312
1686,-216
1687,-194
1688,-282
1689,-252
1690,-192
1691,-272
1692,-258
1693,-210
1694,-254
1695,-258
1696,-222
1697,-256
1698,-256
1699,-232
1700,-240
1701,-236
1702,-228
1703,-256
1704,-248
1705,-238
1706,-234
1707,-244
1708,-250
1709,-236
1710,-234
1711,-244
1712,-240
1713,-228
1714,-234
1715,-238
1716,-254
1717,-240
1718,-234
1719,-246
1720,-246
1721,-226
1722,-236
1723,-244
1724,-240
1725,-230
1726,-248
1727,-230
1728,-222
1729,-236
1730,-250
1731,-230
1732,-224
1733,-234
1734,-236
1735,-228
1736,-242
1737,-250
1738,-230
1739,-224
1740,-250
1741,-238
1742,-248
1743,-242
1744,-240
1745,-224
1746,-232
1747,-244
1748,-242
1749,-242
1750,-242
1751,-244
1752,-234
1753,-234
1754,-238
1755,-254
1756,-248
1757,-252
1758,-222
1759,-226
1760,-230
1761,-204
1762,-216
1763,-302
1764,-258
1765,-148
1766,-240
1767,-344
1768,-222
1769,-192
1770,-310
1771,-216
1772,-194
1773,-296
1774,-218
1775,-194
1776,-272
1777,-256
1778,-200
1779,-244
1780,-258
1781,-210
1782,-252
1783,-256
1784,-220
1785,-224
1786,-246
1787,-240
1788,-228
1789,-230
1790,-254
1791,-236
1792,-250
1793,-246
1794,-234
1795,-248
1796,-248
1797,-226
1798,-234
1799,-254
1800,-236
1801,-242
1802,-250
1803,-236
1804,-220
1805,-228
1806,-236
1807,-226
1808,-248
1809,-234
1810,-220
1811,-236
1812,-246
1813,-236
1814,-226
1815,-242
1816,-226
1817,-218
1818,-242
1819,-248
1820,-230
1821,-234
1822,-256
1823,-246
1824,-246
1825,-248
1826,-234
1827,-220
1828,-246
1829,-234
1830,-240
1831,-256
1832,-224
1833,-226
1834,-258
1835,-246
1836,-232
1837,-236
1838,-242
1839,-252
1840,-248
1841,-262
1842,-208
1843,-206
1844,-296
1845,-282
1846,-178
1847,-220
1848,-306
1849,-224
1850,-214
1851,-278
1852,-230
1853,-214
1854,-256
1855,-240
1856,-238
1857,-256
1858,-242
1859,-230
1860,-220
1861,-234
1862,-242
1863,-250
1864,-254
1865,-244
1866,-224
1867,-234
1868,-256
1869,-242
1870,-250
1871,-248
1872,-230
1873,-224
1874,-242
1875,-242
1876,-248
1877,-244
1878,-228
1879,-238
1880,-250
1881,-242
1882,-244
1883,-254
1884,-234
1885,-248
1886,-252
1887,-240
1888,-236
1889,-248
1890,-244
1891,-232
1892,-236
1893,-242
1894,-238
1895,-248
1896,-254
1897,-248
1898,-230
1899,-244
1900,-250
1901,-236
1902,-236
1903,-240
1904,-240
1905,-230
1906,-242
1907,-258
1908,-238
1909,-228
1910,-248
1911,-238
1912,-246
1913,-252
1914,-232
1915,-232
1916,-250
1917,-260
1918,-224
1919,-244
1920,-248
1921,-214
1922,-260
1923,-312
1924,-188
1925,-130
1926,-322
1927,-340
1928,-144
1929,-232
1930,-318
1931,-176
1932,-234
1933,-302
1934,-178
1935,-232
1936,-280
1937,-202
1938,-218
1939,-278
1940,-244
1941,-228
1942,-250
1943,-240
1944,-230
1945,-246
1946,-264
1947,-250
1948,-234
1949,-226
1950,-212
1951,-226
1952,-250
1953,-252
1954,-232
1955,-248
1956,-240
1957,-234
1958,-254
1959,-238
1960,-222
1961,-244
1962,-246
1963,-238
1964,-236
1965,-246
1966,-234
1967,-246
1968,-250
1969,-248
1970,-216
1971,-246
1972,-256
1973,-222
1974,-248
1975,-256
1976,-238
1977,-226
1978,-246
1979,-246
1980,-234
1981,-240
1982,-246
1983,-234
1984,-234
1985,-244
1986,-226
1987,-230
1988,-244
1989,-248
1990,-242
1991,-244
1992,-256
1993,-242
1994,-234
1995,-254
1996,-234
1997,-240
1998,-238
1999,-234
2000,-238
2001,-242
2002,-238
2003,-180
2004,-244
2005,-324
2006,-228
2007,-154
2008,-256
2009,-276
2010,-192
2011,-254
2012,-272
2013,-204
2014,-240
2015,-266
2016,-224
2017,-246
2018,-256
2019,-238
2020,-234
2021,-252
2022,-256
2023,-246
2024,-232
2025,-230
2026,-232
2027,-248
2028,-256
2029,-240
2030,-234
2031,-248
2032,-232
2033,-242
2034,-244
2035,-250
2036,-254
2037,-220
2038,-234
2039,-250
2040,-250
2041,-240
2042,-232
2043,-248
2044,-222
2045,-234
2046,-246
2047,-240
2048,-246
2049,-256
2050,-240
2051,-218
2052,-234
2053,-252
2054,-242
2055,-236
2056,-254
2057,-224
2058,-226
2059,-244
2060,-242
2061,-248
2062,-246
2063,-238
2064,-236
2065,-220
2066,-246
2067,-244
2068,-236
2069,-236
2070,-238
2071,-232
2072,-232
2073,-250
2074,-242
2075,-236
2076,-238
2077,-242
2078,-238
2079,-250
2080,-234
2081,-218
2082,-266
2083,-288
2084,-146
2085,-168
2086,-354
2087,-276
2088,-138
2089,-274
2090,-278
2091,-172
2092,-246
2093,-272
2094,-202
2095,-250
2096,-268
2097,-202
2098,-244
2099,-280
2100,-248
2101,-234
2102,-244
2103,-228
2104,-232
2105,-248
2106,-254
2107,-228
2108,-240
2109,-256
2110,-236
2111,-238
2112,-248
2113,-250
2114,-234
2115,-232
2116,-222
2117,-240
2118,-260
2119,-234
2120,-216
2121,-250
2122,-244
2123,-240
2124,-254
2125,-246
2126,-230
2127,-238
2128,-232
2129,-232
2130,-226
2131,-264
2132,-242
2133,-246
2134,-248
2135,-240
2136,-218
2137,-210
2138,-240
2139,-240
2140,-220
2141,-234
2142,-252
2143,-230
2144,-250
2145,-258
2146,-244
2147,-232
2148,-242
2149,-240
2150,-232
2151,-218
2152,-238
2153,-240
2154,-234
2155,-242
2156,-232
2157,-242
2158,-258
2159,-236
2160,-222
2161,-244
2162,-210
2163,-188
2164,-288
2165,-318
2166,-190
2167,-174
2168,-300
2169,-240
2170,-192
2171,-256
2172,-254
2173,-202
2174,-250
2175,-246
2176,-228
2177,-262
2178,-250
2179,-222
2180,-218
2181,-234
2182,-248
2183,-250
2184,-256
2185,-230
2186,-212
2187,-244
2188,-256
2189,-254
2190,-252
2191,-236
2192,-242
2193,-232
2194,-238
2195,-228
2196,-254
2197,-242
2198,-232
2199,-232
2200,-242
2201,-248
2202,-250
2203,-252
2204,-238
2205,-224
2206,-224
2207,-234
2208,-244
2209,-254
2210,-234
2211,-232
2212,-236
2213,-248
2214,-228
2215,-250
2216,-248
2217,-220
2218,-234
2219,-254
